NIST Atomic Spectra Database Lines Data
Cl : 853 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 99900 

Query NIST Bibliographic Databases for 
Cl (new window) 
Cl Energy Levels  
Cl Line Wavelengths and Classification  
Cl Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |           Configurations                 |    Terms       |  Ji   Jk  | gi   gk |Type|                   TP  |   Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                          |                |           |         |    |                  Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                          |                |           |         |    |                       |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          31.962   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          33.184   |                   |    200 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
Cl VII    |                   |          34.0236  |        | 3.55e+10  | C+'  |    35.9767         -      72.4174        |           2p6.3d - 2p6.4f                |  2D  - 2F*     | 3/2 - 5/2 |  4 - 6  |    |           T1619interp |         |
Cl VII    |                   |          34.0310  |        | 3.80e+10  | C+'  |    35.9863         -      72.4190        |           2p6.3d - 2p6.4f                |  2D  - 2F*     | 5/2 - 7/2 |  6 - 8  |    |           T1619interp |         |
Cl VII    |                   |          34.0325  |        | 2.53e+09  | C+'  |    35.9863         -      72.4174        |           2p6.3d - 2p6.4f                |  2D  - 2F*     | 5/2 - 5/2 |  6 - 6  |    |           T1619interp |         |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl V      |          37.378   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          39.015   |          39.0151  |    400 | 4.00e+09  | C    |     0.00           -      31.7785        |           3s2.3p - 3s2.4s                |  2P* - 2S      | 1/2 - 1/2 |  2 - 2  |    |               T1062LS |   L495  |
Cl V      |          39.243   |          39.2433  |    500 | 7.9e+09   | C    |     0.18480        -      31.7785        |           3s2.3p - 3s2.4s                |  2P* - 2S      | 3/2 - 1/2 |  4 - 2  |    |               T1062LS |   L495  |
Cl III    |          40.627   |                   |    100 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl III    |          41.137   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl III    |          41.181   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          43.783   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl VII    |                   |          45.5139  |        | 7.0e+08   | D    |    35.9767         -      63.2177        |           2p6.3d - 2p6.4p                |  2D  - 2P*     | 3/2 - 3/2 |  4 - 4  |    |        T1619interp,LS |         |
Cl VII    |                   |          45.5299  |        | 6.4e+09   | C    |    35.9863         -      63.2177        |           2p6.3d - 2p6.4p                |  2D  - 2P*     | 5/2 - 3/2 |  6 - 4  |    |        T1619interp,LS |         |
Cl VII    |                   |          45.6569  |        | 7.1e+09   | C    |    35.9767         -      63.1324        |           2p6.3d - 2p6.4p                |  2D  - 2P*     | 3/2 - 1/2 |  4 - 2  |    |        T1619interp,LS |         |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          46.486   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl IV     |          48.617   |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
Cl IV     |          53.473   |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl IV     |          53.567   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          53.615   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl V      |          53.653   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          53.701   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          53.746   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
Cl IV     |          53.761   |                   |    900 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          53.803   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          53.812   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          53.868   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          54.223   |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
Cl V      |          54.230   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl V      |          54.287   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl V      |          54.511   |                   |   1000 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
Cl V      |          54.633   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
Cl V      |          54.763   |                   |   1000 |           |      |                                          |                                          |                |           |         |    |                       |  L3311  |
Cl IV     |          54.922   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          55.002   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          55.202   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          55.330   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          55.462   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl III    |          55.623   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl III    |          55.661   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl III    |          55.712   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl II     |          55.9305  |                   |    350 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl III    |          56.153   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl III    |          56.168   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl III    |          56.174   |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl II     |          57.1904  |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          57.4406  |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          58.624   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl VII    |                   |          59.821   |        | 5.2e+09   | C    |    15.2509         -      35.9767        |           2p6.3p - 2p6.3d                |  2P* - 2D      | 1/2 - 3/2 |  2 - 4  |    |               T1002LS |         |
Cl IV     |          60.150   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          60.459   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
Cl VII    |                   |          60.478   |        | 6.1e+09   | C    |    15.4856         -      35.9863        |           2p6.3p - 2p6.3d                |  2P* - 2D      | 3/2 - 5/2 |  4 - 6  |    |               T1002LS |         |
Cl VII    |                   |          60.506   |        | 1.0e+09   | D    |    15.4856         -      35.9767        |           2p6.3p - 2p6.3d                |  2P* - 2D      | 3/2 - 3/2 |  4 - 4  |    |               T1002LS |         |
Cl III    |          60.635   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl IV     |          60.890   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          61.207   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          61.8057  |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          61.9982  |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          62.0298  |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl III    |          62.128   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl II     |          62.6735  |                   |    700 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl V      |          63.319   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl V      |          63.532   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          63.5881  |                   |    800 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          63.6626  |                   |   1000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl II     |          65.0894  |                   |   1000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl IV     |          65.370   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
Cl II     |          65.9811  |                   |   1000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          66.1841  |                   |   1300 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          66.3074  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl III    |          67.038   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl VI     |                   |          67.138   |        | 6.32e+09  | B    |     0.00           -      18.4671        |          2p6.3s2 - 3s.3p                 |  1S  - 1P*     |   0 - 1   |  1 - 3  |    |                 T1002 |         |
Cl III    |          67.313   |                   |    300 |           |      |                                          |                                          |                |           |         |    |                       |   L495  |
Cl V      |          68.192   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          68.2053  |                   |   1500 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl V      |          68.317   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          68.7656  |                   |   1500 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl V      |          68.893   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          69.3594  |                   |   1500 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl V      |          71.555   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |   L761  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl V      |          71.619   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |   L761  |
Cl VII    |                   |          72.213   |        | 2.2e+09   | C    |    63.1324         -      80.3017        |           2p6.4p - 2p6.5s                |  2P* - 2S      | 1/2 - 1/2 |  2 - 2  |    |        T1619interp,LS |         |
Cl II     |          72.5271  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl VII    |                   |          72.573   |        | 4.2e+09   | C    |    63.2177         -      80.3017        |           2p6.4p - 2p6.5s                |  2P* - 2S      | 3/2 - 1/2 |  4 - 2  |    |        T1619interp,LS |         |
Cl II     |          72.8951  |                   |   2500 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl X      |                   |          73.961   |        | 5.1e-01   | D    |     0.00           -      16.7634        |          2s2.2p4 - 2s2.2p4               |  3P  - 1S      |   2 - 0   |  5 - 1  | E2 |                  T969 |         |
Cl IV     |          74.521   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L496  |
Cl II     |          77.7562  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          78.7580  |                   |   5000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          78.8740  |                   |   5000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl II     |          79.3342  |                   |   5000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl VII    |                   |          80.064   |        | 2.17e+09  | C    |     0.00           -      15.4856        |           2p6.3s - 2p6.3p                |  2S  - 2P*     | 1/2 - 3/2 |  2 - 4  |    |                T998LS |         |
Cl X      |                   |          80.412   |        | 1.41e+03  | C    |     1.3449         -      16.7634        |          2s2.2p4 - 2s2.2p4               |  3P  - 1S      |   1 - 0   |  3 - 1  | M1 |                  T969 |         |
Cl VII    |                   |          81.296   |        | 2.11e+09  | C    |     0.00           -      15.2509        |           2p6.3s - 2p6.3p                |  2S  - 2P*     | 1/2 - 1/2 |  2 - 2  |    |                T998LS |         |
Cl IV     |          83.143   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          83.484   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl IV     |          83.497   |                   |    500 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          83.9297  |                   |   6000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          83.9599  |                   |   8000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl IV     |          84.081   |                   |    400 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          84.093   |                   |    600 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          84.141   |                   |  7000p |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          85.1691  |                   |   5000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl IV     |          86.53    |                   |        |           |      |                                          |                                          |                |           |         |    |                       |  L1401  |
Cl V      |          88.313   |          88.3131  |    400 | 2.3e+09   | E    |     0.00           -      14.03916       |           3s2.3p - 3s.3p2                |  2P* - 2D      | 1/2 - 3/2 |  2 - 4  |    |                T668LS |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl II     |          88.8026  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl II     |          89.3549  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl V      |          89.434   |          89.4338  |    400 | 2.6e+09   | E    |     0.18480        -      14.04803       |           3s2.3p - 3s.3p2                |  2P* - 2D      | 3/2 - 5/2 |  4 - 6  |    |                T668LS |   L480  |
Cl V      |          89.491   |          89.4911  |    100 | 4.3e+08   | E    |     0.18480        -      14.03916       |           3s2.3p - 3s.3p2                |  2P* - 2D      | 3/2 - 3/2 |  4 - 4  |    |                T668LS |   L480  |
Cl V      |          91.45    |                   |        |           |      |                                          |                                          |                |           |         |    |                       |  L1401  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl III    |          93.628   |                   |    100 |           |      |                                          |                                          |                |           |         |    |                       |   L480  |
Cl II     |          96.1499  |                   |   2000 |           |      |                                          |                                          |                |           |         |    |                       |  L1617  |
Cl I      |          96.992   |                   |     30 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl IV     |          97.321   |          97.322   |    500 | 1.3e+09   | E    |     0.00           -      12.7396        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   0 - 1   |  1 - 3  |    |                T668LS |   L480  |
Cl IV     |          97.756   |          97.756   |    600 | 1.7e+09   | E    |     0.06100        -      12.7440        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   1 - 2   |  3 - 5  |    |                T668LS |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl IV     |          97.790   |          97.790   |    400 | 9.4e+08   | E    |     0.06100        -      12.7396        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   1 - 1   |  3 - 3  |    |                T668LS |   L480  |
Cl I      |          97.8284  |                   |     40 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl IV     |          98.495   |          98.496   |    700 | 2.3e+09   | E    |     0.16637        -      12.7541        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   2 - 3   |  5 - 7  |    |                T668LS |   L480  |
Cl IV     |          98.575   |          98.575   |    400 | 5.5e+08   | E    |     0.16637        -      12.7440        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   2 - 2   |  5 - 5  |    |                T668LS |   L480  |
Cl IV     |                   |          98.610   |        | 6.3e+07   | E    |     0.16637        -      12.7396        |          3s2.3p2 - 3s.3p3                |  3P  - 3D*     |   2 - 1   |  5 - 3  |    |                T668LS |         |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl I      |          99.8372  |                   |     25 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl I      |          99.8432  |                   |     25 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl I      |         100.2346  |                   |     75 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl III    |         100.528   |         100.5275  |    500 | 2.6e+09   | E    |     0.00           -      12.33335       |          3s2.3p3 - 3s.3p4.(3P)           |  4S* - 4P      | 3/2 - 1/2 |  4 - 2  |    |                T668LS |   L480  |
Cl III    |         100.878   |         100.8762  |    600 | 2.6e+09   | E    |     0.00           -      12.29073       |          3s2.3p3 - 3s.3p4.(3P)           |  4S* - 4P      | 3/2 - 3/2 |  4 - 4  |    |                T668LS |   L480  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
Cl I      |         101.3664  |                   |    150 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl III    |         101.502   |         101.5019  |    700 | 2.5e+09   | E    |     0.00           -      12.21496       |          3s2.3p3 - 3s.3p4.(3P)           |  4S* - 4P      | 3/2 - 5/2 |  4 - 6  |    |                T668LS |   L480  |
Cl I      |         102.5553  |                   |     90 |           |      |                                          |                                          |                |           |         |    |                       |   L298  |
Cl II     |         106.3831  |         106.3831  |   6000 | 4.77e+07  | C    |     0.00           -      11.65450       |          3s2.3p4 - 3s.3p5                |  3P  - 3P*     |   2 - 1   |  5 - 3  |    |               T1220LS |  L1617  |
Cl II     |         106.7945  |         106.7944  |   3000 | 1.13e+08  | C    |     0.086293       -      11.69590       |          3s2.3p4 - 3s.3p5                |  3P  - 3P*     |   1 - 0   |  3 - 1  |    |               T1220LS |  L1617  |
          |                   |                   |        |           |      |                                          |                                          |                |           |         |    |                       |         |
